Time,Distance in (cm)
20250207100357,Distance:205
20250207100358,Distance:205
20250207100359,Distance:205
20250207100400,Distance:205
20250207100401,Distance:205
20250207100402,Distance:192
20250207100403,Distance:190
20250207100404,Distance:204
20250207100405,Distance:191
20250207100406,Distance:205
20250207100407,Distance:205
20250207100408,Distance:204
20250207100409,Distance:205
20250207100410,Distance:204
20250207100411,Distance:205
20250207100412,Distance:205
20250207100413,Distance:205
20250207100414,Distance:205
20250207100415,Distance:192
20250207100416,Distance:204
20250207100417,Distance:204
20250207100418,Distance:192
20250207100419,Distance:191
20250207100420,Distance:204
20250207100421,Distance:191
20250207100422,Distance:192
20250207100423,Distance:189
20250207100424,Distance:180
20250207100425,Distance:183
20250207100426,Distance:183
20250207100427,Distance:183
20250207100428,Distance:183
20250207100429,Distance:183
20250207100430,Distance:183
20250207100431,Distance:183
20250207100432,Distance:184
20250207100433,Distance:184
20250207100435,Distance:184
20250207100436,Distance:7
20250207100437,Distance:18
20250207100438,Distance:8
20250207100439,Distance:4
20250207100440,Distance:13
20250207100441,Distance:6
20250207100442,Distance:3
20250207100443,Distance:13
20250207100444,Distance:183
20250207100445,Distance:184
20250207100446,Distance:183
20250207100447,Distance:4
20250207100448,Distance:183
20250207100449,Distance:183
20250207100450,Distance:210
20250207100451,Distance:183
20250207100452,Distance:184
20250207100453,Distance:184
20250207100454,Distance:183
20250207100455,Distance:188
20250207100456,Distance:205
20250207100457,Distance:205
20250207100458,Distance:205
20250207100459,Distance:205
20250207100500,Distance:205
20250207100501,Distance:205
20250207100502,Distance:205
20250207100503,Distance:205
20250207100504,Distance:205
20250207100505,Distance:205
20250207100506,Distance:205
20250207100507,Distance:205
20250207100508,Distance:205
20250207100509,Distance:205
20250207100510,Distance:205
20250207100511,Distance:205
20250207100512,Distance:205
20250207100513,Distance:205
20250207100514,Distance:205
20250207100515,Distance:205
20250207100516,Distance:205
20250207100517,Distance:205
20250207100518,Distance:205
20250207100519,Distance:205
20250207100520,Distance:204
20250207100521,Distance:205
20250207100522,Distance:205
20250207100523,Distance:205
20250207100524,Distance:205
20250207100525,Distance:205
20250207100526,Distance:205
20250207100527,Distance:205
20250207100528,Distance:205
20250207100529,Distance:205
20250207100530,Distance:205
20250207100531,Distance:204
20250207100532,Distance:205
20250207100533,Distance:205
20250207100534,Distance:205
20250207100535,Distance:205
20250207100536,Distance:205
20250207100537,Distance:205
20250207100538,Distance:205
20250207100539,Distance:205
20250207100540,Distance:205
20250207100541,Distance:205
20250207100542,Distance:205
20250207100543,Distance:205
20250207100544,Distance:205
20250207100545,Distance:205
20250207100546,Distance:205
20250207100547,Distance:205
20250207100548,Distance:205
20250207100549,Distance:205
20250207100550,Distance:205
20250207100552,Distance:205
20250207100553,Distance:205
20250207100554,Distance:205
20250207100555,Distance:205
20250207100556,Distance:205
20250207100557,Distance:205
20250207100558,Distance:205
20250207100559,Distance:205
20250207100600,Distance:205
20250207100601,Distance:205
20250207100602,Distance:205
20250207100603,Distance:205
20250207100604,Distance:205
20250207100605,Distance:205
20250207100606,Distance:205
20250207100607,Distance:205
20250207100608,Distance:205
20250207100609,Distance:205
20250207100610,Distance:205
20250207100611,Distance:205
20250207100612,Distance:205
20250207100613,Distance:205
20250207100614,Distance:205
20250207100615,Distance:205
20250207100616,Distance:204
20250207100617,Distance:205
20250207100618,Distance:205
20250207100619,Distance:205
20250207100620,Distance:205
20250207100621,Distance:205
20250207100622,Distance:205
20250207100623,Distance:205
20250207100624,Distance:205
20250207100625,Distance:205
20250207100626,Distance:205
20250207100627,Distance:205
20250207100628,Distance:205
20250207100629,Distance:205
20250207100630,Distance:205
20250207100631,Distance:205
20250207100632,Distance:205
20250207100633,Distance:205
20250207100634,Distance:205
20250207100635,Distance:205
20250207100636,Distance:205
20250207100637,Distance:205
20250207100638,Distance:205
20250207100639,Distance:205
20250207100640,Distance:205
20250207100641,Distance:205
20250207100642,Distance:205
20250207100643,Distance:205
20250207100644,Distance:205
20250207100645,Distance:204
20250207100646,Distance:205
20250207100647,Distance:205
20250207100648,Distance:205
20250207100649,Distance:205
20250207100650,Distance:205
20250207100651,Distance:205
20250207100652,Distance:205
20250207100653,Distance:205
20250207100654,Distance:205
20250207100655,Distance:205
20250207100656,Distance:205
20250207100657,Distance:205
20250207100658,Distance:205
20250207100659,Distance:205
20250207100700,Distance:205
20250207100702,Distance:205
20250207100703,Distance:205
20250207100704,Distance:205
20250207100705,Distance:205
20250207100706,Distance:205
20250207100707,Distance:205
20250207100708,Distance:205
20250207100709,Distance:205
20250207100710,Distance:205
20250207100711,Distance:205
20250207100712,Distance:205
20250207100713,Distance:205
20250207100714,Distance:205
20250207100715,Distance:205
20250207100716,Distance:205
20250207100717,Distance:205
20250207100718,Distance:205
20250207100719,Distance:205
20250207100720,Distance:205
20250207100721,Distance:205
20250207100722,Distance:205
20250207100723,Distance:205
20250207100724,Distance:205
20250207100725,Distance:205
20250207100726,Distance:205
20250207100727,Distance:205
20250207100728,Distance:205
20250207100729,Distance:205
20250207100730,Distance:205
20250207100731,Distance:205
20250207100732,Distance:205
20250207100733,Distance:205
20250207100734,Distance:205
20250207100735,Distance:205
20250207100736,Distance:205
20250207100737,Distance:205
20250207100738,Distance:205
20250207100739,Distance:205
20250207100740,Distance:205
20250207100741,Distance:205
20250207100742,Distance:205
20250207100743,Distance:205
20250207100744,Distance:205
20250207100745,Distance:205
20250207100746,Distance:205
20250207100747,Distance:205
20250207100748,Distance:205
20250207100749,Distance:205
20250207100750,Distance:205
20250207100751,Distance:205
20250207100752,Distance:205
20250207100753,Distance:205
20250207100754,Distance:205
20250207100755,Distance:205
20250207100756,Distance:205
20250207100757,Distance:205
20250207100758,Distance:205
20250207100759,Distance:205
20250207100800,Distance:205
20250207100801,Distance:205
20250207100802,Distance:205
20250207100803,Distance:205
20250207100804,Distance:205
20250207100805,Distance:205
20250207100806,Distance:205
20250207100807,Distance:205
20250207100808,Distance:205
20250207100809,Distance:205
20250207100811,Distance:205
20250207100812,Distance:205
20250207100813,Distance:205
20250207100814,Distance:205
20250207100815,Distance:205
20250207100816,Distance:205
20250207100817,Distance:205
20250207100818,Distance:205
20250207100819,Distance:205
20250207100820,Distance:205
20250207100821,Distance:205
20250207100822,Distance:205
20250207100823,Distance:205
20250207100824,Distance:205
20250207100825,Distance:205
20250207100826,Distance:205
20250207100827,Distance:205
20250207100828,Distance:205
20250207100829,Distance:204
20250207100830,Distance:205
20250207100831,Distance:205
20250207100832,Distance:205
20250207100833,Distance:205
20250207100834,Distance:205
20250207100835,Distance:205
20250207100836,Distance:205
20250207100837,Distance:205
20250207100838,Distance:205
20250207100839,Distance:205
20250207100840,Distance:205
20250207100841,Distance:205
20250207100842,Distance:204
20250207100843,Distance:205
20250207100844,Distance:205
20250207100845,Distance:205
20250207100846,Distance:205
20250207100847,Distance:205
20250207100848,Distance:205
20250207100849,Distance:205
20250207100850,Distance:205
20250207100851,Distance:205
20250207100852,Distance:205
20250207100853,Distance:205
20250207100854,Distance:205
20250207100855,Distance:204
20250207100856,Distance:205
20250207100857,Distance:205
20250207100858,Distance:205
20250207100859,Distance:205
20250207100900,Distance:205
20250207100901,Distance:205
20250207100902,Distance:205
20250207100903,Distance:205
20250207100904,Distance:205
20250207100905,Distance:205
20250207100906,Distance:205
20250207100907,Distance:205
20250207100908,Distance:205
20250207100909,Distance:205
20250207100910,Distance:205
20250207100911,Distance:205
20250207100912,Distance:205
20250207100913,Distance:205
20250207100914,Distance:205
20250207100915,Distance:205
20250207100916,Distance:205
20250207100917,Distance:205
20250207100918,Distance:205
20250207100920,Distance:205
20250207100921,Distance:205
20250207100922,Distance:205
20250207100923,Distance:205
20250207100924,Distance:205
20250207100925,Distance:205
20250207100926,Distance:205
20250207100927,Distance:205
20250207100928,Distance:205
20250207100929,Distance:205
20250207100930,Distance:205
20250207100931,Distance:205
20250207100932,Distance:205
20250207100933,Distance:205
20250207100934,Distance:205
20250207100935,Distance:205
20250207100936,Distance:205
20250207100937,Distance:205
20250207100938,Distance:205
20250207100939,Distance:205
20250207100940,Distance:205
20250207100941,Distance:205
20250207100942,Distance:205
20250207100943,Distance:205
20250207100944,Distance:205
20250207100945,Distance:205
20250207100946,Distance:205
20250207100947,Distance:205
20250207100948,Distance:205
20250207100949,Distance:205
20250207100950,Distance:205
20250207100951,Distance:205
20250207100952,Distance:205
20250207100953,Distance:205
20250207100954,Distance:205
20250207100955,Distance:205
20250207100956,Distance:205
20250207100957,Distance:205
20250207100958,Distance:205
20250207100959,Distance:205
20250207101000,Distance:205
20250207101001,Distance:205
20250207101002,Distance:205
20250207101003,Distance:205
20250207101004,Distance:205
20250207101005,Distance:205
20250207101006,Distance:205
20250207101007,Distance:205
20250207101008,Distance:205
20250207101009,Distance:205
20250207101010,Distance:205
20250207101011,Distance:205
20250207101012,Distance:205
20250207101013,Distance:205
20250207101014,Distance:205
20250207101015,Distance:205
20250207101016,Distance:205
20250207101017,Distance:205
20250207101018,Distance:205
20250207101019,Distance:205
20250207101020,Distance:205
20250207101021,Distance:204
20250207101022,Distance:205
20250207101024,Distance:205
20250207101025,Distance:205
20250207101026,Distance:205
20250207101026,Distance:205
20250207101027,Distance:205
20250207101029,Distance:204
20250207101030,Distance:205
20250207101031,Distance:205
20250207101032,Distance:205
20250207101033,Distance:205
20250207101034,Distance:205
20250207101035,Distance:205
20250207101036,Distance:205
20250207101037,Distance:205
20250207101038,Distance:205
20250207101039,Distance:205
20250207101040,Distance:205
20250207101041,Distance:205
20250207101042,Distance:205
20250207101043,Distance:205
20250207101044,Distance:205
20250207101045,Distance:205
20250207101046,Distance:205
20250207101047,Distance:205
20250207101048,Distance:205
20250207101049,Distance:205
20250207101050,Distance:205
20250207101051,Distance:205
20250207101052,Distance:205
20250207101053,Distance:205
20250207101054,Distance:205
20250207101055,Distance:205
20250207101056,Distance:205
20250207101057,Distance:205
20250207101058,Distance:205
20250207101059,Distance:205
20250207101100,Distance:205
20250207101101,Distance:205
20250207101102,Distance:204
20250207101103,Distance:205
20250207101104,Distance:205
20250207101105,Distance:205
20250207101106,Distance:205
20250207101107,Distance:205
20250207101108,Distance:205
20250207101109,Distance:205
20250207101110,Distance:205
20250207101111,Distance:205
20250207101112,Distance:205
20250207101113,Distance:205
20250207101114,Distance:205
20250207101115,Distance:205
20250207101116,Distance:205
20250207101117,Distance:205
20250207101118,Distance:205
20250207101119,Distance:205
20250207101120,Distance:205
20250207101121,Distance:205
20250207101122,Distance:205
20250207101123,Distance:205
20250207101124,Distance:205
20250207101125,Distance:205
20250207101126,Distance:205
20250207101127,Distance:204
20250207101128,Distance:205
20250207101129,Distance:205
20250207101130,Distance:205
20250207101131,Distance:205
20250207101132,Distance:205
20250207101133,Distance:205
20250207101134,Distance:205
20250207101135,Distance:205
20250207101136,Distance:205
20250207101138,Distance:205
20250207101139,Distance:205
20250207101140,Distance:205
20250207101141,Distance:205
20250207101142,Distance:205
20250207101143,Distance:205
20250207101144,Distance:205
20250207101145,Distance:205
20250207101146,Distance:205
20250207101147,Distance:205
20250207101148,Distance:205
20250207101149,Distance:205
20250207101150,Distance:205
20250207101151,Distance:205
20250207101152,Distance:205
20250207101153,Distance:205
20250207101154,Distance:205
20250207101155,Distance:205
20250207101156,Distance:205
20250207101157,Distance:205
20250207101158,Distance:205
20250207101159,Distance:205
20250207101200,Distance:205
20250207101201,Distance:205
20250207101202,Distance:205
20250207101203,Distance:205
20250207101204,Distance:205
20250207101205,Distance:205
20250207101206,Distance:205
20250207101207,Distance:205
20250207101208,Distance:205
20250207101209,Distance:205
20250207101210,Distance:205
20250207101211,Distance:205
20250207101212,Distance:205
20250207101213,Distance:205
20250207101214,Distance:205
20250207101215,Distance:205
20250207101216,Distance:205
20250207101217,Distance:205
20250207101218,Distance:205
20250207101219,Distance:205
20250207101220,Distance:205
20250207101221,Distance:205
20250207101222,Distance:205
20250207101223,Distance:205
20250207101224,Distance:205
20250207101225,Distance:205
20250207101226,Distance:205
20250207101227,Distance:205
20250207101228,Distance:205
20250207101229,Distance:205
20250207101230,Distance:205
20250207101231,Distance:205
20250207101232,Distance:205
20250207101233,Distance:205
20250207101234,Distance:205
20250207101235,Distance:205
20250207101236,Distance:205
20250207101237,Distance:205
20250207101238,Distance:205
20250207101239,Distance:205
20250207101240,Distance:205
20250207101241,Distance:205
20250207101242,Distance:205
20250207101243,Distance:205
20250207101244,Distance:204
20250207101245,Distance:205
20250207101247,Distance:205
20250207101248,Distance:205
20250207101249,Distance:204
20250207101250,Distance:205
20250207101251,Distance:205
20250207101252,Distance:205
20250207101253,Distance:205
20250207101254,Distance:205
20250207101255,Distance:205
20250207101256,Distance:205
20250207101257,Distance:205
20250207101258,Distance:205
20250207101259,Distance:205
20250207101300,Distance:205
20250207101301,Distance:205
20250207101302,Distance:205
20250207101303,Distance:205
20250207101304,Distance:205
20250207101305,Distance:205
20250207101306,Distance:205
20250207101307,Distance:205
20250207101308,Distance:205
20250207101309,Distance:204
20250207101310,Distance:205
20250207101311,Distance:205
20250207101312,Distance:205
20250207101313,Distance:205
20250207101314,Distance:205
20250207101315,Distance:205
20250207101316,Distance:205
20250207101317,Distance:205
20250207101318,Distance:205
20250207101319,Distance:205
20250207101320,Distance:205
20250207101321,Distance:205
20250207101322,Distance:205
20250207101323,Distance:205
20250207101324,Distance:205
20250207101325,Distance:205
20250207101326,Distance:205
20250207101327,Distance:205
20250207101328,Distance:205
20250207101329,Distance:205
20250207101330,Distance:205
20250207101331,Distance:205
20250207101332,Distance:205
20250207101333,Distance:205
20250207101334,Distance:205
20250207101335,Distance:205
20250207101336,Distance:205
20250207101337,Distance:205
20250207101338,Distance:205
20250207101339,Distance:205
20250207101340,Distance:204
20250207101341,Distance:205
20250207101342,Distance:205
20250207101343,Distance:205
20250207101344,Distance:205
20250207101345,Distance:205
20250207101346,Distance:205
20250207101347,Distance:205
20250207101348,Distance:205
20250207101349,Distance:205
20250207101350,Distance:205
20250207101351,Distance:205
20250207101352,Distance:205
20250207101353,Distance:205
20250207101354,Distance:205
20250207101355,Distance:205
20250207101357,Distance:205
20250207101358,Distance:205
20250207101359,Distance:205
20250207101400,Distance:205
20250207101401,Distance:205
20250207101402,Distance:205
20250207101403,Distance:205
20250207101404,Distance:205
20250207101405,Distance:205
20250207101406,Distance:205
20250207101407,Distance:205
20250207101408,Distance:205
20250207101409,Distance:205
20250207101410,Distance:205
20250207101411,Distance:205
20250207101412,Distance:205
20250207101413,Distance:205
20250207101414,Distance:205
20250207101415,Distance:205
20250207101416,Distance:205
20250207101417,Distance:204
20250207101418,Distance:205
20250207101419,Distance:205
20250207101420,Distance:205
20250207101421,Distance:205
20250207101422,Distance:205
20250207101423,Distance:205
20250207101424,Distance:205
20250207101425,Distance:205
20250207101426,Distance:205
20250207101427,Distance:205
20250207101428,Distance:205
20250207101429,Distance:205
20250207101430,Distance:205
20250207101431,Distance:205
20250207101432,Distance:205
20250207101433,Distance:205
20250207101434,Distance:205
20250207101435,Distance:205
20250207101436,Distance:205
20250207101437,Distance:205
20250207101438,Distance:205
20250207101439,Distance:205
20250207101440,Distance:205
20250207101441,Distance:205
20250207101442,Distance:205
20250207101443,Distance:205
20250207101444,Distance:205
20250207101445,Distance:205
20250207101446,Distance:205
20250207101447,Distance:205
20250207101448,Distance:205
20250207101449,Distance:205
20250207101450,Distance:205
20250207101451,Distance:205
20250207101452,Distance:205
20250207101453,Distance:205
20250207101454,Distance:205
20250207101455,Distance:205
20250207101456,Distance:205
20250207101457,Distance:205
20250207101458,Distance:205
20250207101459,Distance:205
20250207101500,Distance:204
20250207101501,Distance:205
20250207101502,Distance:205
20250207101503,Distance:205
20250207101504,Distance:205
20250207101506,Distance:205
20250207101507,Distance:205
20250207101508,Distance:205
20250207101509,Distance:205
20250207101510,Distance:205
20250207101511,Distance:205
20250207101512,Distance:205
20250207101513,Distance:205
20250207101514,Distance:205
20250207101515,Distance:205
20250207101516,Distance:205
20250207101517,Distance:205
20250207101518,Distance:205
20250207101519,Distance:205
20250207101520,Distance:205
20250207101521,Distance:205
20250207101522,Distance:205
20250207101523,Distance:205
20250207101524,Distance:205
20250207101525,Distance:205
20250207101526,Distance:205
20250207101527,Distance:205
20250207101528,Distance:205
20250207101529,Distance:205
20250207101530,Distance:205
20250207101531,Distance:205
20250207101532,Distance:205
20250207101533,Distance:205
20250207101534,Distance:205
20250207101535,Distance:205
20250207101536,Distance:205
20250207101537,Distance:205
20250207101538,Distance:205
20250207101539,Distance:204
20250207101540,Distance:205
20250207101541,Distance:205
20250207101542,Distance:205
20250207101543,Distance:205
20250207101544,Distance:205
20250207101545,Distance:205
20250207101546,Distance:205
20250207101547,Distance:205
20250207101548,Distance:205
20250207101549,Distance:205
20250207101550,Distance:205
20250207101551,Distance:205
20250207101552,Distance:205
20250207101553,Distance:205
20250207101554,Distance:205
20250207101555,Distance:205
20250207101556,Distance:205
20250207101557,Distance:205
20250207101558,Distance:205
20250207101559,Distance:205
20250207101600,Distance:205
20250207101601,Distance:205
20250207101602,Distance:205
20250207101603,Distance:205
20250207101604,Distance:205
20250207101605,Distance:205
20250207101606,Distance:205
20250207101607,Distance:205
20250207101608,Distance:205
20250207101609,Distance:205
20250207101610,Distance:205
20250207101611,Distance:205
20250207101612,Distance:205
20250207101613,Distance:205
20250207101615,Distance:205
20250207101616,Distance:205
20250207101617,Distance:205
20250207101618,Distance:205
20250207101619,Distance:205
20250207101620,Distance:205
20250207101621,Distance:205
20250207101622,Distance:205
20250207101623,Distance:205
20250207101624,Distance:205
20250207101625,Distance:205
20250207101626,Distance:205
20250207101627,Distance:205
20250207101628,Distance:205
20250207101629,Distance:205
20250207101630,Distance:205
20250207101631,Distance:205
20250207101632,Distance:205
20250207101633,Distance:205
20250207101634,Distance:205
20250207101635,Distance:204
20250207101636,Distance:205
20250207101637,Distance:205
20250207101638,Distance:205
20250207101639,Distance:205
20250207101640,Distance:204
20250207101641,Distance:205
20250207101642,Distance:205
20250207101643,Distance:205
20250207101644,Distance:205
20250207101645,Distance:205
20250207101646,Distance:205
20250207101647,Distance:205
20250207101648,Distance:205
20250207101649,Distance:205
20250207101650,Distance:205
20250207101651,Distance:205
20250207101652,Distance:205
20250207101653,Distance:204
20250207101654,Distance:205
20250207101655,Distance:205
20250207101656,Distance:205
20250207101657,Distance:205
20250207101658,Distance:205
20250207101659,Distance:204
20250207101700,Distance:204
20250207101701,Distance:204
20250207101702,Distance:205
20250207101703,Distance:205
20250207101704,Distance:205
20250207101705,Distance:205
20250207101706,Distance:205
20250207101707,Distance:205
20250207101708,Distance:205
20250207101709,Distance:205
20250207101710,Distance:205
20250207101711,Distance:205
20250207101712,Distance:205
20250207101713,Distance:205
20250207101714,Distance:205
20250207101715,Distance:205
20250207101716,Distance:205
20250207101717,Distance:205
20250207101718,Distance:205
20250207101719,Distance:205
20250207101720,Distance:205
20250207101721,Distance:205
20250207101722,Distance:205
20250207101724,Distance:205
20250207101725,Distance:205
20250207101726,Distance:205
20250207101727,Distance:205
20250207101728,Distance:205
20250207101729,Distance:205
20250207101730,Distance:205
20250207101731,Distance:205
20250207101732,Distance:205
