x,y,z,timestamp
-0.37,-0.49,0.12,1742215730.7001965
-0.73,-0.31,-0.06,1742215735.669378
-0.79,-0.49,0.06,1742215740.6972558
-0.31,-0.31,0.12,1742215747.9776702
-0.37,-0.43,0.0,1742215760.4308221
0.0,0.18,0.12,1742215760.5198364
-0.18,-0.73,0.31,1742215760.9497466
-0.24,-0.43,0.12,1742215766.0614703
-0.43,-0.49,0.06,1742215770.7174966
-0.49,-0.37,0.06,1742215775.727324
0.12,-0.31,0.18,1742215780.7312138
-0.37,-0.55,0.06,1742215786.1373875
-0.43,-0.43,0.06,1742215790.7291105
-0.61,-0.43,-0.06,1742215795.7606394
-0.55,-0.43,0.06,1742215800.7739613
-0.67,-0.43,0.06,1742215806.2291338
-0.85,-0.73,0.0,1742215810.7932198
-0.06,-0.31,0.12,1742215815.9695458
1.1,0.73,0.12,1742215820.7805133
-0.67,-0.43,0.06,1742215826.0546012
-0.06,-0.43,0.06,1742215830.770993
0.18,-0.12,0.0,1742215835.811782
-0.31,-0.49,0.18,1742215840.7903862
-0.55,-0.43,-0.18,1742215846.286335
-0.43,-0.31,0.0,1742215850.7922826
-0.67,-0.61,0.0,1742215855.811319
-0.06,-0.43,-0.18,1742215860.8745472
-0.61,-0.55,0.24,1742215866.2717705
-0.31,-0.43,0.12,1742215870.8086638
-0.43,-0.55,0.06,1742215875.8348222
-0.55,-0.61,0.0,1742215880.8520849
-0.12,0.12,0.12,1742215886.27793
-0.73,-0.55,-0.31,1742215890.859922
-0.55,-0.31,0.12,1742215895.86158
-0.31,-0.43,0.06,1742215901.149169
-0.49,-0.37,0.12,1742215906.2800121
-0.24,-0.37,0.06,1742215910.8627818
-0.24,-0.43,0.06,1742215915.873985
-0.61,-0.49,0.0,1742215920.8768854
-0.18,-0.37,0.12,1742215926.216863
-0.24,-0.37,0.06,1742215930.8775241
-0.49,-0.37,0.0,1742215935.8781261
-0.49,-0.31,0.06,1742215940.8989975
0.0,-0.43,0.18,1742215946.2952793
-0.37,-0.24,0.06,1742215951.0621457
-0.06,-0.43,0.49,1742215955.9698715
-0.37,-0.55,0.0,1742215960.9113
0.24,-0.12,0.12,1742215966.3529916
-0.37,-0.31,0.12,1742215970.9381616
-0.31,-0.24,0.06,1742215975.9209776
-0.43,-0.37,0.0,1742215980.929615
-0.18,-0.37,0.12,1742215986.2203588
-0.12,-0.37,0.06,1742215990.9518027
-0.37,-0.37,-0.12,1742215995.95411
-0.55,-0.43,-0.06,1742216000.942913
-0.55,-0.55,-0.06,1742216006.2724638
-0.24,-0.49,0.0,1742216010.9798825
-0.18,-0.31,0.0,1742216015.9716516
-0.37,-0.31,0.0,1742216021.0656686
-0.37,-0.24,0.0,1742216026.3513675
-0.24,-0.37,0.06,1742216030.9888153
-0.55,-0.37,0.06,1742216036.0469658
-0.24,-0.37,0.0,1742216040.993565
-0.24,-0.37,0.06,1742216046.4332998
-0.43,-0.24,0.06,1742216051.0320468
-0.73,-0.55,0.06,1742216056.0323224
-0.18,-0.37,0.12,1742216061.012017
-0.31,-0.37,0.06,1742216066.2900872
-0.43,-0.37,0.06,1742216071.1006167
-0.55,-0.49,0.06,1742216076.0318723
-0.43,-0.37,0.12,1742216081.0514076
-0.24,-0.31,0.06,1742216086.460989
0.18,-0.31,0.18,1742216091.054642
-0.06,-0.37,0.12,1742216096.054394
